Flags_data,ID,Lat,Lon,Diam_km,Age
CE1,882,33.8799,58.6934,16.7738358,4
CE1,883,59.8577,-136.371,16.77288927,5
CE1,884,-50.9604,149.848,16.76770147,1
CE1,885,-14.5855,-15.304,16.76209703,3
CE1,886,-51.5229,-147.05,16.76075263,2
CE1,887,-45.2349,71.237,16.76058171,5
CE1,888,22.0652,94.7297,16.76007037,5
CE1,889,-26.681,103.332,16.7502594,2
CE1,890,-50.0342,-159.675,16.74957245,4
CE1,891,33.9408,84.9776,16.7489225,2
CE1,892,43.187,141.343,16.74367779,2
CE1,893,27.3639,-87.129,16.73835472,3
CE1,894,59.9584,159.892,16.73704972,2
CE1,895,-48.7219,112.039,16.73663152,2
CE1,896,0.192139,3.50505,16.73621328,5
CE1,897,-5.26385,-177.913,16.73517997,5
CE1,898,-5.35943,102.447,16.73302961,2
CE1,899,16.5147,-143.98,16.72193592,5
CE1,900,-50.9069,-67.122,16.72124272,3
CE1,901,23.2643,-75.301,16.71794845,3
CE1,902,57.5629,-125.511,16.71315856,1
CE1,903,30.3463,62.4636,16.71311161,3
CE1,904,-49.2902,110.302,16.71104609,2
CE1,905,15.2075,-152.307,16.70877183,5
CE1,906,-37.5526,-138.784,16.7050737,2
CE1,907,-31.4306,48.2847,16.7025074,5
CE1,908,-27.7024,138.245,16.69862335,5
CE1,909,17.5757,127.093,16.69200381,5
CE1,910,-47.2598,-41.609,16.69098689,2
CE1,911,55.0907,-89.153,16.68752839,5
CE1,912,-6.97237,104.514,16.68245568,5
CE1,913,48.6063,167.798,16.67304271,2
CE1,914,-41.6133,-19.606,16.66544889,2
CE1,915,17.1895,-164.404,16.66536374,5
CE1,916,-13.4614,-146.417,16.66083621,5
CE1,917,-28.7231,-50.22,16.66056336,5
CE1,918,2.49993,95.0697,16.65980054,5
CE1,919,-18.6543,41.1015,16.65403605,5
CE1,920,-23.3959,-149.75,16.65284453,3
CE1,921,33.1541,31.0259,16.64892061,5
CE1,922,-21.0554,119.868,16.64556165,5
CE1,923,63.6097,-174.846,16.64326287,2
CE1,924,56.8128,46.3472,16.64037709,2
CE1,925,3.90143,136.746,16.63654721,5
